[None, None, None]
[0.61291563999999998, 1.2258313000000001, 9.3469639999999998]
[0.61291563999999998, 1.2258313000000001, 9.9598790000000008]
[0.76614450000000001, 1.3790601, 10.266336000000001]
[0.76614450000000001, 1.2258313000000001, 9.9598790000000008]
[0.61291563999999998, 1.2258313000000001, 9.9598790000000008]
[0.61291563999999998, 1.3790601, 10.113108]
[0.61291563999999998, 1.3790601, 10.113108]
[0.76614450000000001, 1.2258313000000001, 10.113108]
[0.76614450000000001, 1.2258313000000001, 10.113108]
[0.61291563999999998, 1.3790601, 9.9598790000000008]
[0.76614450000000001, 1.3790601, 9.9598790000000008]
[0.91937345000000004, 1.2258313000000001, 9.9598790000000008]
[0.76614450000000001, 1.3790601, 10.266336000000001]
[0.91937345000000004, 1.3790601, 9.9598790000000008]
[0.91937345000000004, 1.3790601, 10.113108]
[0.61291563999999998, 1.2258313000000001, 10.113108]
[0.91937345000000004, 1.532289, 10.266336000000001]
[0.91937345000000004, 1.2258313000000001, 9.9598790000000008]
[0.45968672999999999, 1.3790601, 9.9598790000000008]
[0.45968672999999999, 1.532289, 9.9598790000000008]
[0.30645781999999999, 1.532289, 9.9598790000000008]
[0.30645781999999999, 1.532289, 10.113108]
[0.45968672999999999, 1.532289, 9.9598790000000008]
[0.45968672999999999, 1.532289, 9.9598790000000008]
[0.30645781999999999, 1.3790601, 9.9598790000000008]
[0.45968672999999999, 1.3790601, 9.9598790000000008]
[0.45968672999999999, 1.3790601, 9.8066499999999994]
[0.45968672999999999, 1.532289, 9.9598790000000008]
[0.45968672999999999, 1.3790601, 9.9598790000000008]
[1.3790601, 2.1452048000000001, 10.113108]
[0.91937345000000004, 1.6855180000000001, 9.8066499999999994]
[1.2258313000000001, 1.6855180000000001, 9.9598790000000008]
[1.0726024000000001, 1.532289, 9.9598790000000008]
[1.0726024000000001, 1.532289, 9.8066499999999994]
[1.0726024000000001, 1.6855180000000001, 9.9598790000000008]
[0.91937345000000004, 1.6855180000000001, 9.9598790000000008]
[1.0726024000000001, 1.6855180000000001, 10.113108]
[1.0726024000000001, 1.6855180000000001, 9.9598790000000008]
[1.0726024000000001, 1.6855180000000001, 9.8066499999999994]
[1.0726024000000001, 1.6855180000000001, 9.9598790000000008]
[0.91937345000000004, 1.532289, 10.266336000000001]
[1.0726024000000001, 1.532289, 9.6534209999999998]
[1.0726024000000001, 1.532289, 9.8066499999999994]
[0.91937345000000004, 1.6855180000000001, 9.9598790000000008]
[1.0726024000000001, 1.6855180000000001, 10.113108]
[1.0726024000000001, 1.6855180000000001, 10.113108]
[1.0726024000000001, 1.6855180000000001, 9.9598790000000008]
[0.91937345000000004, 1.6855180000000001, 10.113108]
[1.0726024000000001, 1.9919758000000001, 10.726024000000001]
[1.0726024000000001, 1.6855180000000001, 9.9598790000000008]
